quillback_num,quillback_kg,year,mode,orig_allocated,district
0,0,2020,pc,original,1
0,0,2020,pc,original,2
65.6,58.113,2020,pc,original,3
168.67,116.5851,2020,pc,original,4
1656.82,1848.0663,2020,pc,original,5
457.99,579.0547,2020,pc,original,6
0,0,2020,pc,allocated,1
0,0,2020,pc,allocated,2
45.07,37.55416511,2020,pc,allocated,3
1383,1002.135828,2020,pc,allocated,4
157.11,163.3999213,2020,pc,allocated,5
24.79,27.29513238,2020,pc,allocated,6
0,0,2021,pc,original,1
0,0,2021,pc,original,2
101.42,92.922,2021,pc,original,3
2215.53,1673.66,2021,pc,original,4
1827.29,2003.7821,2021,pc,original,5
629.14,820.3621,2021,pc,original,6
0,0,2021,pc,allocated,1
0,0,2021,pc,allocated,2
17.53,14.6067121,2021,pc,allocated,3
319.94,231.8317692,2021,pc,allocated,4
28.88,30.03621493,2021,pc,allocated,5
0,0,2021,pc,allocated,6
0,0,2020,pr,original,1
0,0,2020,pr,original,2
42.79,42.6285,2020,pr,original,3
1205.31,824.5347,2020,pr,original,4
547.53,600.8315,2020,pr,original,5
2500.39,3734.0965,2020,pr,original,6
0,0,2020,pr,allocated,1
0,0,2020,pr,allocated,2
17.87,14.71841687,2020,pr,allocated,3
1295.16,878.8934649,2020,pr,allocated,4
7.81,7.586039315,2020,pr,allocated,5
31.15,43.28735671,2020,pr,allocated,6
